target,feature,n_pieces_within_piece_tests,median_piece_spearman_rho,n_positive_pieces,n_negative_pieces,fisher_stat,fisher_p,global_spearman_rho,global_fdr_q,fisher_fdr_q
max_tap_count_per_100ms_bin,spectral_rolloff_hz_std,10,-0.10686965246422861,3,7,167.09068001765291,3.1847546073132305e-25,-0.1388726270730959,,6.704746541712064e-25
max_unique_participants_per_100ms_bin,mtb_ioi_std_s,10,0.1311303139832822,6,4,166.97138976817652,3.3591115674918767e-25,0.137104396601713,,6.9981490989414105e-25
max_unique_participants_per_100ms_bin,mean_velocity,10,-0.021940340051720596,5,5,166.61670753623366,3.935859431440121e-25,-0.0510408269515578,,8.115174085443548e-25
max_tap_count_per_100ms_bin,mean_velocity,10,-0.02564239770276069,5,5,166.3996159426352,4.336616458520129e-25,-0.0505855376459853,,8.850237670449242e-25
istc_mean_max_unique_per_sec,mean_velocity,10,-0.014973814390032748,5,5,164.06580870373276,1.2287141217476612e-24,-0.0508761418992529,,2.4822507510053762e-24
optimizer_peak_to_grid_median_abs_error_ms,mean_velocity,10,0.0963375640216899,7,3,162.69208433273917,2.2663405458295033e-24,0.0411217828046925,,4.5326810916590066e-24
istc_mean_max_unique_per_sec,spectral_rolloff_hz_std,10,-0.11077171275269382,3,7,162.0545713923301,3.0103666457200053e-24,-0.1410196659166094,,5.9611220707326835e-24
istc_mean_max_unique_per_sec,mtb_ioi_std_s,10,0.12518144000004777,6,4,161.677168450694,3.561073918257651e-24,0.1372980473260162,,6.982497878936572e-24
optimizer_peak_to_grid_median_abs_error_ms,rms_std,10,-0.06880212482377482,4,6,161.3245708757797,4.166087385564354e-24,-0.0404779478067007,,8.089490069056997e-24
optimizer_peak_to_grid_median_abs_error_ms,spectral_rolloff_hz_std,10,-0.07334428838221066,4,6,157.37683368378384,2.4069102458194063e-23,-0.0361524610172345,,4.628673549652704e-23
optimizer_peak_to_grid_median_abs_error_ms,onset_strength_mean,10,0.06783962298509122,6,4,152.40456308288785,2.175030539800623e-22,-0.0329228015302298,,4.1429153139059484e-22
istc_mean_max_unique_per_sec,onset_strength_mean,10,0.020278466125054177,5,5,149.36044453201055,8.332484058437617e-22,0.0651581298985629,,1.5721668034787957e-21
max_unique_participants_per_100ms_bin,onset_strength_mean,10,0.017139465448372193,5,5,147.34557116914266,2.0230176323006576e-21,0.0588942236241405,,3.781341368786276e-21
max_tap_count_per_100ms_bin,onset_strength_mean,10,0.018276342333241245,5,5,146.91364138869466,2.446184117838482e-21,0.0584761030021111,,4.529970588589782e-21
optimizer_beat_density_per_s,zero_crossing_rate_mean,10,0.12325624423794346,7,3,144.517856746179,7.005418309050123e-21,0.068919646437432,,1.2853978548715822e-20
