trial_row,stim_name,alignment_offset_s,usable,n_taps,mean_ioi_s,perceived_tempo_bpm,sd_ioi_s,trial_cv_ioi_pct,median_ioi_s,first_tap_s,last_tap_s,wtc_code,manifest_wtc_code,beta_list,beta_perf,beta_score
149,track23,0.974604166666667,True,100,0.693202479338843,86.55479717445083,0.2355043430439066,33.97338440977938,0.6627272727272775,2.9322140151515153,71.55925946969698,wtc1p03,wtc1p03,3,-1.1204,-1.2469
150,track5,0.9955208333333329,True,261,0.5580393356643357,107.5193022523602,0.0905861418985231,16.232931284437505,0.5461363636363679,3.635388257575757,148.72561553030303,wtc2p01,wtc2p01,1,-0.3205,-0.1693
151,track13,1.01952083333333,True,69,0.6493114973262033,92.4055715124,0.0290485553546907,4.4737472652663035,0.6463636363636329,4.454115530303033,48.607297348484856,wtc1p15,wtc1p15,2,-0.417,-0.2511
152,track15,0.99075,True,106,0.6785064935064936,88.42951478610392,0.222175260212158,32.74475076339585,0.6647727272727266,3.265840909090909,74.50902272727272,wtc1p03,wtc1p03,2,-1.0295,-1.2469
153,track7,1.050375,True,133,1.102995867768595,54.39730261309357,0.4943614802466715,44.819885068725114,1.0094318181818167,4.038715909090909,149.63417045454543,wtc2p24,wtc2p24,1,-0.5012,-0.3163
154,track8,1.97,True,108,1.136144859813084,52.81016719106669,0.2266893561917291,19.95250466820081,1.1372727272727303,5.2709090909090905,126.8384090909091,wtc1f03,wtc1p03,3,-0.6684,-0.6974
155,track18,0.9896041666666668,True,141,0.990964285714286,60.547086171477986,0.2300398597045909,23.21373868068096,1.0339772727272738,2.9458503787878785,141.68085037878788,wtc2p01,wtc2p01,1,-0.2781,-0.1693
156,track24,1.09241666666667,True,64,1.110487012987013,54.030348215068855,0.1571769179607089,14.153872681314022,1.096363636363641,3.239856060606057,73.20053787878788,wtc1p17,wtc1p17,1,-1.0328,-0.9849
157,track3,1.98908333333333,True,205,0.554067513368984,108.29005229917298,0.1416135842645693,25.558904077139267,0.533863636363634,4.476598484848489,117.50637121212122,wtc2f06,wtc2f06,1,-1.0934,-0.9258
158,track13,1.01952083333333,True,131,0.3530611888111888,169.94221370530477,0.0561965657141362,15.91694796682657,0.3334090909090914,2.9486609848484875,48.84661553030303,wtc1p15,wtc1p15,2,-0.417,-0.2511
