wtc_code,window_center_s,rms_mean,spectral_centroid_hz_mean,spectral_bandwidth_hz_mean,spectral_rolloff_hz_mean,zero_crossing_rate_mean,onset_strength_mean,n_note_onsets,istc_mean_max_unique_per_sec
wtc1p15,20.25,0.028074903896069918,1132.1449673903899,2163.8099360006127,1577.0,0.025428474682225463,0.0013041912095195468,12.0,7.75
wtc1p15,20.5,0.024923348860453252,1072.7582779449904,2133.051624989441,1463.5625,0.024820275057303602,0.0011407559705931256,11.75,7.75
wtc1p15,20.75,0.023284020760251316,1069.1792556169753,2162.9286069587133,1464.875,0.02417560950197958,0.0011852154939532514,12.5,7.75
wtc1p15,21.0,0.02418670770097051,1073.2109387694506,2168.1133936900524,1486.6875,0.023794019587414044,0.0014005159893722874,12.5,7.25
wtc1p15,21.25,0.025806040940204014,1084.5397062091413,2157.047340255827,1518.5625,0.02453115232340071,0.00146144411620366,12.5,6.0
wtc1p15,21.5,0.02693665869350309,1105.3589332714673,2161.5819501895576,1554.8125,0.025173213169410295,0.0015725231555982354,12.75,6.0
wtc1p15,21.75,0.02783473470882268,1125.9935347703163,2177.7666815124976,1597.1875,0.025967649510314647,0.00175828648246624,12.75,6.0
wtc1p15,22.0,0.02787415088265115,1137.5575483841822,2184.9990506239938,1616.4375,0.02676469056053344,0.001779842911436484,12.75,6.25
wtc1p15,22.25,0.027691674065930393,1145.1760708187207,2177.6682798657057,1647.125,0.02693920608460096,0.00200068279175249,12.25,7.0
wtc1p15,22.5,0.02815389054112275,1146.0982377704775,2151.526404221769,1667.4375,0.027404146697228588,0.0018789376456620458,12.5,7.25
wtc1p15,22.75,0.027477587795220217,1153.5897525363023,2169.844585552232,1648.375,0.02734814544696812,0.001885862101782591,12.25,7.0
wtc1p15,23.0,0.026348547249275694,1163.472122955707,2169.4878044867937,1666.75,0.02831319024796833,0.0016754399723491553,12.5,7.0
wtc1p15,23.25,0.027185248207329402,1155.9796731058564,2143.589835477918,1659.625,0.028293654928110024,0.0015473352364762513,12.5,6.25
wtc1p15,23.5,0.029713264355285193,1143.6232072159364,2094.9287875083132,1651.0,0.027891227339028962,0.0017778846762905123,12.25,6.25
wtc1p15,23.75,0.03224338956205886,1123.454980012417,1997.966002539115,1655.0625,0.027781829547822462,0.0017414525142968984,12.5,6.5
wtc1p15,24.0,0.03587363429523291,1104.1105635490544,1908.0955393291392,1656.375,0.02673864346738904,0.0018275777543862097,12.5,6.5
wtc1p15,24.25,0.03980476383910035,1092.442326238489,1819.9034746517332,1646.75,0.027081162742237964,0.0018685531342279348,12.5,6.5
wtc1p15,24.5,0.04277141158484322,1096.8871310284856,1752.611087736499,1676.3125,0.027715409460304232,0.0018337619119885708,12.75,6.5
wtc1p15,24.75,0.04558756165943129,1108.8410788101899,1707.8282072171423,1723.9375,0.02872864138362159,0.001946903279179085,13.0,7.25
wtc1p15,25.0,0.04705769438405966,1113.5030315257518,1684.590353992958,1724.4375,0.029317305688685142,0.00220658348125273,12.75,7.25
wtc1p15,25.25,0.04603793189337929,1114.2232408786044,1683.0344519335845,1736.8125,0.02927432798499687,0.002036827652043883,13.25,7.5
wtc1p15,25.5,0.04215227927392833,1098.3158030098539,1724.2723795168956,1674.6875,0.02939284225880392,0.0018188565675657893,12.5,7.25
wtc1p15,25.75,0.03983179583276865,1082.6046356253592,1729.5109691183843,1636.8125,0.028968274640550115,0.001605942085023303,11.5,6.5
wtc1p15,26.0,0.038837470343516395,1066.7956078575764,1721.9833374688164,1628.0625,0.028718222546363827,0.0012828771562161203,12.0,6.5
wtc1p15,26.25,0.0387319315774122,1050.5404903832514,1716.1075948498183,1583.375,0.029009949989581164,0.0014256775725948435,11.25,6.75
wtc1p15,26.5,0.04080078124075037,1051.617137056513,1694.366886492021,1588.1875,0.028330120858512192,0.0015977131598238548,12.0,6.5
wtc1p15,26.75,0.04293692711497582,1049.2175189108261,1697.4223560113346,1542.0,0.028297561992081686,0.0016518102228907068,12.5,6.5
wtc1p15,27.0,0.042609137273334555,1053.4546173485564,1724.799639350134,1513.3125,0.028560637632840176,0.0016235784812976813,12.5,6.5
wtc1p15,27.25,0.041205384007849746,1058.2767236276466,1754.2378020637564,1514.1875,0.02795504271723276,0.0015488158604468302,12.5,7.0
wtc1p15,27.5,0.039221323333430425,1041.119088317354,1765.6936095948338,1488.1875,0.02739893727859971,0.001351178373553137,12.5,7.75
wtc1p15,27.75,0.035825185880550774,1039.8988712142182,1813.0304576540314,1488.1875,0.02694441550322984,0.0012311851326859953,11.75,7.5
wtc1p15,28.0,0.03482683581239855,1053.408093823588,1835.6741672088192,1506.5,0.026851948322567203,0.0012758690749823495,12.75,7.75
wtc1p15,28.25,0.03243841978327495,1074.775937377381,1910.8247700503944,1513.3125,0.027190560533444468,0.001177552194332487,12.75,7.75
wtc1p15,28.5,0.03159980790448255,1083.320853363518,1947.7055678167944,1504.0625,0.0277648989372786,0.001303817074826412,12.0,6.75
wtc1p15,28.75,0.0308228474796267,1071.894291370486,1936.6280957825868,1488.5625,0.02787169201917066,0.0011249778805567279,13.0,7.0
wtc1p15,29.0,0.029560530613366123,1043.413269434868,1951.4404671755588,1438.1875,0.02674124817670348,0.001039802281029086,12.25,7.5
wtc1p15,29.25,0.030651023777194655,1020.6238987431558,1911.5483560716277,1412.8125,0.026053604917691185,0.00120922301211108,12.0,7.5
